pipeline,llm_name,source_model,dest_model,apps,total_samples,INCORRECT_MODEL,BUILD_FAIL,RUNTIME_FAIL,MISSING,VALIDATION_FAIL,PASS,build@1,build@3,build@5,run@1,run@3,run@5,pass@1,pass@3,pass@5
regular,claude-opus-4-6,HPX,Legion,1,20,0,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code_only,claude-opus-4-6,HPX,Legion,1,20,0,8,0,0,0,12,0.6000000000000001,0.9508771929824561,0.9963880288957688,0.6000000000000001,0.9508771929824561,0.9963880288957688,0.6000000000000001,0.9508771929824561,0.9963880288957688
combined,claude-opus-4-6,HPX,Legion,1,40,0,28,0,0,0,12,0.30000000000000004,0.668421052631579,0.8506401137980084,0.30000000000000004,0.668421052631579,0.8506401137980084,0.30000000000000004,0.668421052631579,0.8506401137980084
