pipeline,llm_name,source_model,dest_model,apps,total_samples,INCORRECT_MODEL,BUILD_FAIL,RUNTIME_FAIL,MISSING,VALIDATION_FAIL,PASS,build@1,build@3,build@5,run@1,run@3,run@5,pass@1,pass@3,pass@5
regular,gpt-5.3-codex,HPX,Legion,1,20,0,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code_only,gpt-5.3-codex,HPX,Legion,1,20,0,8,5,0,4,3,0.6000000000000001,0.9508771929824561,0.9963880288957688,0.3500000000000001,0.749122807017544,0.9169891640866873,0.15000000000000002,0.4035087719298246,0.6008771929824561
combined,gpt-5.3-codex,HPX,Legion,1,40,0,28,5,0,4,3,0.30000000000000004,0.668421052631579,0.8506401137980084,0.17500000000000004,0.44777327935222677,0.6393113761534813,0.07500000000000007,0.21356275303643724,0.33755060728744934
